feature,coefficient,absolute_coefficient
numeric__genre_Animation,2.3078567214680605,2.3078567214680605
numeric__genre_Drama,1.9077164493031347,1.9077164493031347
numeric__log_profit_shifted,1.7024796390524222,1.7024796390524222
numeric__log_budget,-1.468891672151153,1.468891672151153
numeric__genre_Horror,-1.2103493080646293,1.2103493080646293
numeric__release_year,-0.7262110085485795,0.7262110085485795
numeric__genre_Documentary,0.6824437439295555,0.6824437439295555
numeric__genre_History,0.6438994141593082,0.6438994141593082
numeric__genre_Music,0.627667766079428,0.627667766079428
numeric__genre_Unknown,-0.5994407537115436,0.5994407537115436
numeric__genre_Crime,0.5722109672908708,0.5722109672908708
numeric__genre_Fantasy,0.5595256983107834,0.5595256983107834
numeric__genre_Western,0.5353750714561172,0.5353750714561172
numeric__genre_War,0.48799361999700136,0.48799361999700136
numeric__genre_Family,-0.4576797094424533,0.4576797094424533
numeric__is_english,0.41948777644779905,0.41948777644779905
numeric__genre_Mystery,0.38954894581175936,0.38954894581175936
numeric__genre_Romance,-0.3450788324331043,0.3450788324331043
numeric__genre_Adventure,0.17613093054397597,0.17613093054397597
numeric__genre_Thriller,-0.17433779820705742,0.17433779820705742
numeric__genre_Comedy,0.10956606524353987,0.10956606524353987
numeric__genre_TV_Movie,-0.0557649678213696,0.0557649678213696
numeric__log_revenue,0.03280635127495102,0.03280635127495102
numeric__genre_Science_Fiction,-0.024907894473054613,0.024907894473054613
numeric__roi_capped,-0.021000427439213157,0.021000427439213157
numeric__genre_Action,0.009876779936495607,0.009876779936495607
